X [mm], Y [mm], Z [mm], Heading [degrees], Filename
5175.17, 4322.14, 1800, 208.476, image_00459.png
5170.45, 4313.33, 1800, 208.127, image_00460.png
5165.79, 4304.48, 1800, 207.763, image_00461.png
5161.19, 4295.6, 1800, 207.384, image_00462.png
5156.65, 4286.69, 1800, 206.978, image_00463.png
5152.17, 4277.75, 1800, 206.553, image_00464.png
5147.77, 4268.77, 1800, 206.107, image_00465.png
5143.44, 4259.75, 1800, 205.632, image_00466.png
5139.19, 4250.7, 1800, 205.129, image_00467.png
5135.02, 4241.61, 1800, 204.6, image_00468.png
5130.94, 4232.48, 1800, 204.037, image_00469.png
5126.96, 4223.31, 1800, 203.44, image_00470.png
5123.08, 4214.09, 1800, 202.803, image_00471.png
5119.3, 4204.83, 1800, 202.124, image_00472.png
5115.65, 4195.52, 1800, 201.4, image_00473.png
5112.12, 4186.17, 1800, 200.625, image_00474.png
5108.73, 4176.76, 1800, 199.789, image_00475.png
5105.48, 4167.3, 1800, 198.894, image_00476.png
5102.39, 4157.79, 1800, 197.927, image_00477.png
5099.48, 4148.23, 1800, 196.878, image_00478.png
5096.75, 4138.6, 1800, 195.76, image_00479.png
5094.22, 4128.93, 1800, 194.608, image_00480.png
5091.89, 4119.21, 1800, 193.423, image_00481.png
5089.76, 4109.44, 1800, 192.209, image_00482.png
5087.85, 4099.62, 1800, 190.964, image_00483.png
5086.15, 4089.77, 1800, 189.689, image_00484.png
5084.68, 4079.88, 1800, 188.387, image_00485.png
5083.44, 4069.95, 1800, 187.058, image_00486.png
5082.43, 4060, 1800, 185.707, image_00487.png
5081.66, 4050.03, 1800, 184.337, image_00488.png
5081.13, 4040.05, 1800, 182.943, image_00489.png
5080.85, 4030.05, 1800, 181.538, image_00490.png
5080.81, 4020.05, 1800, 180.117, image_00491.png
5081.03, 4010.05, 1800, 178.689, image_00492.png
5081.49, 4000.07, 1800, 177.259, image_00493.png
5082.21, 3990.09, 1800, 175.822, image_00494.png
5083.17, 3980.14, 1800, 174.394, image_00495.png
5084.38, 3970.21, 1800, 172.973, image_00496.png
5085.83, 3960.32, 1800, 171.561, image_00497.png
5087.52, 3950.46, 1800, 170.166, image_00498.png
5089.45, 3940.65, 1800, 168.793, image_00499.png
5091.61, 3930.89, 1800, 167.446, image_00500.png
5094, 3921.18, 1800, 166.125, image_00501.png
5096.6, 3911.52, 1800, 164.836, image_00502.png
5099.42, 3901.92, 1800, 163.584, image_00503.png
5102.43, 3892.39, 1800, 162.392, image_00504.png
5105.61, 3882.91, 1800, 161.38, image_00505.png
5108.92, 3873.47, 1800, 160.606, image_00506.png
5112.33, 3864.07, 1800, 160.088, image_00507.png
5115.77, 3854.68, 1800, 159.822, image_00508.png
5119.22, 3845.3, 1800, 159.802, image_00509.png
5122.64, 3835.9, 1800, 160.031, image_00510.png
5125.99, 3826.48, 1800, 160.485, image_00511.png
5129.22, 3817.01, 1800, 161.156, image_00512.png
